Timestamp,Benchmark,Language,User Time (s),GC Max Pause (ms),GC Total (ms),Max RSS (MB)
2026-09-25 17:42:18,alloc_heavy,Luna,0.243,0.105,29.764,101.3
2026-09-25 17:42:18,alloc_heavy,Python,0.217,0.000,0.000,61.1
2026-09-25 17:42:18,long_live,Luna,0.167,0.132,19.982,58.7
2026-09-25 17:42:18,long_live,Python,0.170,0.000,0.000,23.2
2026-09-25 17:42:18,cycles,Luna,0.027,0.134,5.127,16.2
2026-09-25 17:42:18,cycles,Python,0.063,0.895,5.359,14.4
2026-09-25 17:42:18,strings,Luna,0.223,0.099,22.847,86.1
2026-09-25 17:42:18,strings,Python,0.167,0.000,0.000,67.1
2026-09-25 17:44:09,alloc_heavy,Luna,0.290,0.153,36.630,100.0
2026-09-25 17:44:09,alloc_heavy,Python,0.227,0.000,0.000,61.1
2026-09-25 17:44:09,long_live,Luna,0.150,0.120,19.276,59.9
2026-09-25 17:44:09,long_live,Python,0.167,0.000,0.000,23.2
2026-09-25 17:44:09,cycles,Luna,0.030,0.101,4.927,16.3
2026-09-25 17:44:09,cycles,Python,0.083,1.300,8.077,14.5
2026-09-25 17:44:09,strings,Luna,0.253,0.129,23.264,86.1
2026-09-25 17:44:09,strings,Python,0.170,0.000,0.000,67.0
2026-09-25 17:44:09,binary_trees,Luna,0.753,0.000,0.000,272.6
2026-09-25 17:44:09,binary_trees,Python,0.710,18.285,242.628,17.4
2026-09-25 17:44:09,map_churn,Luna,1.020,0.518,37.397,51.4
2026-09-25 17:44:09,map_churn,Python,1.067,0.000,0.000,21.9
2026-09-25 17:44:09,object_graph,Luna,0.093,0.196,26.540,38.0
2026-09-25 17:44:09,object_graph,Python,0.137,5.888,14.774,27.1
2026-09-25 17:44:09,concurrent_map,Luna,0.280,0.271,10.849,23.3
2026-09-25 17:44:09,concurrent_map,Python,0.290,0.000,0.000,15.8
